% Star Wars Minifigures dataset
@RELATION minifigs

@ATTRIBUTE ID STRING
@ATTRIBUTE Sets NUMERIC
@ATTRIBUTE "Value, €" NUMERIC
@ATTRIBUTE "Growth, %" NUMERIC
@ATTRIBUTE Year STRING
@ATTRIBUTE Released STRING
@ATTRIBUTE Subtheme STRING
@ATTRIBUTE Name STRING

@DATA
sw1146,3,5.10,21.64,'2021 - 2022','august 2021','ultimate collector series','clone trooper commander'
sw1145,1,4.90,37.53,2021,'march 2021','the force awakens','poe dameron'
sw1143,3,2.64,19.05,'2021 - 2022','march 2021',microfighters,'luke skywalker hoth'
sw1142,1,8.06,54.99,2021,'march 2021','episode vi','imperial officer'
sw1141,1,12.49,141.33,2021,'march 2021','episode vi','darth vader'
sw1140,2,3.00,?,'2021 - 2023','january 2021','episode iv','general jan dodonna'
sw1139,3,3.78,?,'2021 - 2024','january 2021','episode iv','luke skywalker'
sw1138,1,3.74,18.38,2021,'january 2021','episode iv','tie fighter pilot'
sw1137,2,4.87,30.12,2021,'january 2021','episode iv',stormtrooper
sw1136,1,4.00,7.06,2021,'january 2021','episode iv','ni-l8 protocol droid'
sw1135,3,4.03,27.58,2021,'january 2021','the mandalorian','the mandalorian'
sw1132,1,17.71,?,2020,'september 2020','master builder series',sandtrooper
sw1131,1,18.51,?,2020,'september 2020','master builder series',sandtrooper
sw1130,1,10.69,?,2020,'september 2020','master builder series','hrchek kal fas'
sw1129,1,11.91,?,2020,'september 2020','master builder series',kabe
sw1128,1,17.89,?,2020,'september 2020','master builder series','momaw nadon'
sw1127,1,28.44,?,2020,'september 2020','master builder series',garindan
sw1126,1,18.64,?,2020,'september 2020','master builder series',labria
sw1125,1,7.59,?,2020,'september 2020','master builder series','dr cornelius evazan'
sw1124,1,19.12,?,2020,'september 2020','master builder series','ponda baba'
sw1123s,1,6.60,200.00,2020,'september 2020','the mandalorian',mythrol
sw1122s,1,6.60,200.00,2020,'september 2020','the mandalorian','human in carbonite'
sw1121,1,22.04,229.04,2020,'september 2020',seasonal,'darth vader red christmas sweater'
sw1120,1,2.11,18.81,2020,'september 2020',seasonal,'snowman gonk droid (gnk power droid)'
sw1119,1,2.76,5.37,2020,'september 2020',seasonal,'pit droid'
sw1118,1,3.92,87.76,2020,'september 2020',seasonal,'d-o with santa hat'
sw1117,1,6.23,41.04,2020,'september 2020',seasonal,'poe dameron green christmas sweater'
sw1116,3,4.87,18.16,'2020 - 2023','september 2020','the mandalorian','scout trooper'
sw1115,2,3.22,74.29,'2020 - 2021','september 2020','the mandalorian',ig-11
sw1114,1,5.32,51.38,2020,'september 2020','the mandalorian','greef karga'
sw1113,9,1.79,?,'2020 - 2024','september 2020','the mandalorian','the child'
sw1112,2,14.85,68.97,'2020 - 2021','august 2020','episode v','darth vader'
sw1111,1,3.72,49.47,2020,'july 2020','galaxy\'s edge','gonk droid'
sw1110,1,22.65,368.00,2020,'july 2020','galaxy\'s edge','astromech droid'
sw1109,1,29.14,218.06,2020,'july 2020','galaxy\'s edge','lieutenant bek'
sw1108,1,20.44,220.86,2020,'july 2020','galaxy\'s edge','vi moradi'
sw1107,2,8.85,90.53,'2020 - 2021','august 2020','episode vi','emperor palpatine'
sw1106,1,14.48,229.00,2020,'august 2020','episode vi','darth vader'
sw1105,1,5.17,26.72,2020,'august 2020','episode v','at-at driver'
sw1104,3,3.75,?,'2020 - 2021','august 2020','episode v','at-at driver'
sw1103,1,5.38,100.33,2020,'august 2020','episode v',snowtrooper
sw1102,1,4.20,56.39,2020,'august 2020','episode v',snowtrooper
sw1101,1,18.43,318.80,2020,'august 2020','episode v','general maximillian veers'
sw1100,1,27.11,516.20,2020,'august 2020','episode iii','airborne clone trooper'
sw1099,1,18.30,316.00,2020,'august 2020','the rise of skywalker','knight of ren cardo'
sw1098,1,17.78,297.05,2020,'august 2020','the rise of skywalker','knight of ren kuruk'
sw1097,1,10.01,109.58,2020,'august 2020','the clone wars','332nd company clone trooper'
sw1096,2,6.59,89.62,'2020 - 2021','august 2020','the clone wars','ahsoka tano'
sw1095,1,16.96,221.70,2020,'august 2020','episode iii','anakin skywalker'
sw1094,2,4.90,16.04,'2020 - 2022','august 2020','the clone wars','501st legion clone trooper'
sw1093,1,5.46,101.62,2020,'august 2020','the clone wars','501st legion jet trooper'
sw1092,1,55.04,1150.80,2020,'may 2020','ultimate collector series','rebel pilot a-wing'
sw1089,1,31.18,409.78,2020,'january 2020','the rise of skywalker','knight of ren vicrul'
sw1088,1,12.74,167.65,2020,'january 2020','the rise of skywalker',jannah
sw1087,1,24.71,150.71,2020,'january 2020','the rise of skywalker','knight of ren trudgen'
sw1086,1,7.17,62.67,2020,'january 2020','episode iv','luke skywalker'
sw1085,6,2.23,?,'2020 - 2021','january 2020','episode iv',r2-d2
sw1084,1,4.15,21.96,2020,'january 2020','episode iv','obi-wan kenobi'
sw1083,1,7.12,77.02,2020,'january 2020','episode iii','anakin skywalker'
sw1082,2,7.39,110.00,2020,'january 2020','episode iii','obi-wan kenobi'
sw1081,1,9.27,57.87,2020,'january 2020','4 plus','wedge antilles'
sw1080,1,3.56,25.00,2020,'january 2020','the mandalorian','male mandalorian tribe warrior'
sw1079,1,3.63,27.16,2020,'january 2020','the mandalorian','male mandalorian tribe warrior'
sw1078,2,3.48,25.32,'2020 - 2021','january 2020','the mandalorian','female mandalorian tribe warrior'
sw1077,1,3.70,33.23,2020,'january 2020','the mandalorian','female mandalorian tribe warrior'
sw1076,1,2.50,13.60,2020,'january 2020','the rise of skywalker','sith fleet officer'
sw1075,1,2.91,12.20,2020,'january 2020','the rise of skywalker','sith jet trooper'
sw1074,5,3.03,14.29,'2020 - 2022','january 2020',microfighters,'tusken raider'
sw1073,1,3.84,49.32,2020,'january 2020',microfighters,'t-16 skyhopper pilot'
sw1072,1,20.22,240.95,2020,'january 2020',microfighters,'supreme leader kylo ren'
sw1069,1,8.42,170.34,2019,'december 2019','episode iv','obi-wan kenobi'
sw1068,1,11.41,?,2019,'october 2019','the rise of skywalker',boolio
sw1067,1,14.17,?,2019,'october 2019','the rise of skywalker','lando calrissian'
sw1066,2,3.09,?,'2019 - 2020','october 2019','the rise of skywalker',finn
sw1065,4,4.32,4.47,'2019 - 2021','october 2019','the rise of skywalker','sith trooper'
sw1064,1,22.84,53.52,2019,'october 2019','the rise of skywalker','knight of ren ushar'
sw1063,1,20.45,147.50,2019,'october 2019','the rise of skywalker','knight of ren ap\'lek'
sw1062,1,8.81,43.20,2019,'october 2019','the rise of skywalker','general pryde'
sw1061,1,26.91,135.23,2019,'october 2019','the rise of skywalker','supreme leader kylo ren'
sw1060,1,3.53,14.90,2019,'october 2019','the mandalorian','klatooinian raider'
sw1059,1,3.36,23.62,2019,'october 2019','the mandalorian','klatooinian raider'
sw1058,2,5.39,25.36,'2019 - 2021','october 2019','the mandalorian','cara dune'
sw1057,2,6.71,30.48,'2019 - 2020','october 2019','the mandalorian','the mandalorian'
sw1056,1,5.41,30.57,2019,'october 2019','the rise of skywalker','first order treadspeeder driver'
sw1055,1,10.98,111.88,2019,'october 2019','the rise of skywalker','first order jet trooper'
sw1054,4,3.87,22.91,'2019 - 2021','october 2019','the rise of skywalker',rey
sw1053,1,6.64,124.40,2019,'october 2019','the rise of skywalker','first order snowtrooper'
sw1052,1,9.15,63.27,2019,'october 2019','the rise of skywalker','astromech droid'
sw1051,3,2.42,?,'2019 - 2020','october 2019','the rise of skywalker',d-o
sw1050,2,4.43,47.08,'2019 - 2020','october 2019','the rise of skywalker','zorii bliss'
sw1049,1,6.58,20.84,2019,'october 2019','the rise of skywalker','poe dameron'
sw1048,1,5.20,31.33,2019,'october 2019','the rise of skywalker','lieutenant connix'
sw1047,1,5.88,48.44,2019,'october 2019','the rise of skywalker','snap wexley'
sw1046,2,6.46,?,'2019 - 2020','october 2019','episode iv','obi-wan kenobi'
sw1045,2,4.17,127.88,2019,'september 2019',seasonal,'imperial gunner'
sw1044,1,39.84,805.40,2019,'october 2019','ultimate collector series','imperial officer'
sw1043,1,52.38,1090.40,2019,'october 2019','ultimate collector series','imperial officer'
sw1042,1,1.94,17.65,2019,'september 2019',?,'mouse droid'
sw1041,1,7.16,41.81,2019,'september 2019',?,'gonk droid'
sw1040,1,2.78,15.33,2019,'september 2019',seasonal,'festive gnk power droid'
sw1039,1,9.37,178.07,2019,'september 2019',seasonal,'old luke skywalker'
sw1037,1,81.75,836.49,2019,'may 2019','episode iv','bail organa'
sw1036,3,6.37,44.22,'2019 - 2022','may 2019','episode iv','princess leia'
sw1035,1,34.33,336.35,2019,'may 2019','episode iv','captain antilles'
sw1034,5,2.36,9.84,'2019 - 2023','april 2019',resistance,bb-8
sw1032,1,6.59,28.47,2019,'april 2019',legends,'han solo'
sw1031,1,13.81,364.20,2019,'april 2019',legends,'shadow trooper'
sw1030,1,7.81,203.07,2019,'april 2019','episode iii','dwarf spider droid'
sw1029,1,27.48,284.61,2019,'april 2019','episode iii','darth vader'
sw1028,1,9.26,309.34,2019,'april 2019','episode iii','wookiee warrior'
